SIN_MLP_TAB;SIN_MLP_BTR;SIN_SYN_LOP;SIN_SYN_PAT;SIN_MLP_LIB;TEC_COL
063;A;A;J450;Asthme;0
069;A;C;I73C;Atteinte vasculaire cubito-palmaire droite;0
069;A;C;I73D;Atteinte vasculaire cubito-palmaire gauche;0
069;A;Z;R69X;Association de plusieurs syndromes du tableau;0
070;A;A;I50X;Ce code devient 070BAI500 FIN CODE 20/06/2004;0
070;A;A;J18X;Ce code devient 070BAJ18X FIN CODE 20/06/2004;0
070;A;A;J30X;Rhinite;0
070;A;A;J450;Asthme ou dyspnée asthmatiforme;0
070;A;A;J688;Ce code devient 070BAR05X FIN CODE 20/06/2004;0
070;A;A;J841;Ce code devient 070BAJ841 FIN CODE 20/06/2004;0
070;A;A;J961;Insuffisance respiratoire chronique obstructive secondaire à la maladie ast...;0
070;A;A;L23X;Lésions eczématiformes;0
070;A;A;R05X;Ce code devient 070BAR05X FIN CODE 20/06/2004;0
070;A;Z;R69X;Association de plusieurs syndromes du tableau;0
070;B;A;I500;Insuffisance ventriculaire droite;0
070;B;A;I50X;Insuffisance ventriculaire droite;0
070;B;A;J18X;Infection pulmonaire;0
070;B;A;J20X;Syndrome respiratoire irritatif à type de toux et de dyspnée;0
070;B;A;J638;Broncho-alvéolite aiguë ou subaiguë avec signes généraux FIN CODE 20/06/2004;0
070;B;A;J683;Broncho-alvéolite aiguë ou subaiguë avec signes généraux;0
070;B;A;J841;Fibrose pulmonaire diffuse;0
070;B;A;R05X;Syndrome respiratoire irritatif à type de toux et de dyspnée FIN CODE 20/06/2004;0
070;B;Z;R69X;Association de plusieurs syndromes du tableau;0
070;T;A;C34X;Cancer broncho-pulmonaire primitif;0
071;A;A;H268;Cataracte;0
071;B;A;H110;Ptérygion;0
072;A;A;I20X;Douleurs précordiales à type angine de poitrine. ischémie myocardique aiguë;0
072;A;A;I21X;Infarctus du myocarde;0
073;A;A;J68X;Stibiose;0
073;A;A;L23X;Lésions eczématiformes;0
073;A;Z;R69X;Association de plusieurs syndromes du tableau;0
074;A;A;H10X;Conjonctivite;0
074;A;A;J30X;Rhinite;0
074;A;A;J450;Asthme;0
074;A;A;L23X;Dermite eczématiforme;0
074;A;Z;R69X;Association de plusieurs syndromes du tableau;0
075;A;A;H10X;Conjonctivite;0
075;A;A;J681;Oedème pulmonaire;0
075;A;A;J682;Affections des voies aériennes;0
075;A;A;T26X;Brûlures oculaires;0
075;A;A;T30X;Brûlures et irritations cutanées;0
075;A;Z;R69X;Association de plusieurs syndromes du tableau;0
076;A;A;A412;Septicémie;0
076;A;A;A490;Atteinte viscérale;0
076;A;A;L030;Panaris;0
076;A;B;A418;Septicémie;0
076;A;B;A498;Localisations viscérales. cutanéo-muqueuses et oculaires;0
076;A;C;A418;Septicémie;0
076;A;D;A403;Septicémie;0
076;A;D;G001;Méningite purulente;0
076;A;D;J13X;Pneumonie. broncho-pneumonie;0
076;A;E;A46X;Erysipèle;0
076;A;E;H66X;Otite compliquée FIN CODE 20/06/2004;0
076;A;E;H670;Otite compliquée;0
076;A;E;I091;Endocardite;0
076;A;E;J154;Broncho-pneumonie;0
076;A;E;N00X;Glomérulonéphrite aiguë;0
076;A;F;A390;Méningite FIN CODE 20/06/2004;0
076;A;F;A398;Conjonctivite;0
076;A;F;G01X;Méningite;0
076;A;G;A01X;Fièvres typhoïde et paratyphoïde A et B;0
076;A;H;A039;Dysenterie bacillaire;0
076;A;I;A00X;Choléra;0
076;A;J;A99X;Fièvres hémorragiques;0
076;A;K;A544;Complications articulaires;0
076;A;K;A548;Gonococcie cutanée;0
076;A;L;A512;Tréponématose primaire cutanée;0
076;A;M;B01X;Varicelle et ses complications;0
076;A;M;B02X;Zona et ses complications;0
076;A;N;B86X;Gale;0
077;A;0;0000;Non précisé;0
077;A;A;L030;Atteinte des doigts;0
077;A;B;L030;Atteinte des orteils;0
077;A;Z;R69X;Association de plusieurs syndromes du tableau;0
078;A;A;J340;Lésions nasales : ulcérations;0
078;A;A;J348;Lésions nasales :perforations;0
078;A;A;J34X;Lésions nasales : ulcérations FIN CODE 20/06/2004;0
078;A;A;L24X;Ulcérations cutanées FIN CODE 20/06/2004;0
078;A;A;L984;Ulcérations cutanées;0
078;A;Z;R69X;Association de plusieurs syndromes du tableau;0
079;A;A;M232;Lésions chroniques du ménisque  FIN CODE 08/08/2008;0
079;A;A;M23A;Lésions chroniques du ménisque genou droit;0
079;A;A;M23B;Lésions chroniques du ménisque genou gauche;0
079;A;A;M23C;Lésions provoquées par les travaux effectués dans un milieu où la pression est inférieure à la pression atmosphérique et soumise à variations : Lésions de l'oreille interne;0
079;A;A;M23D;Lésions provoquées par les travaux effectués dans un milieu où la pression est inférieure à la pression atmosphérique et soumise à variations : Otites moyennes subaiguës ou chroniques;0
079;A;Z;R69X;Association de plusieurs syndromes du tableau;0
080;A;A;H161;Kératite nummulaire sous-épithéliale FIN CODE 20/06/2004;0
080;A;A;H16X;Kératite nummulaire sous-épithéliale;0
080;A;B;H162;Kératite superficielle ulcéreuse avec conjonctivite associée FIN CODE 20/06/2004;0
080;A;B;H16X;Kératite superficielle ulcéreuse avec conjonctivite associée;0
080;A;C;B303;Conjonctivite hémorragique;0
080;A;D;H114;Conjonctivite oedémateuse avec chémosis;0
080;A;E;H131;Conjonctivite folliculaire avec ou sans participation cornéenne;0
080;A;Z;R69X;Association de plusieurs syndromes du tableau;0
081;A;A;C34X;Cancer bronchique primitif;0
082;A;A;H10X;Conjonctivite;0
082;A;A;J30X;Rhinite;0
082;A;A;J44X;Manifestations respiratoires chroniques;0
082;A;A;J450;Asthme;0
082;A;A;L23X;Lésions eczématiformes;0
082;A;A;R06X;Manifestations respiratoires chroniques FIN CODE 20/06/2004;0
082;A;Z;R69X;Association de plusieurs syndromes du tableau;0
083;A;A;H650;Otites moyennes subaiguës FIN CODE 20/06/2004;0
083;A;A;H652;Otites moyennes chroniques FIN CODE 20/06/2004;0
083;A;A;H839;Lésions de l'oreille interne;0
083;A;A;T700;Otites moyennes subaiguës  ou chroniques;0
083;A;Z;R69X;Association de plusieurs syndromes du tableau;0
084;A;A;0000;Non précisé;0
084;A;A;E40X;Kwashiorkor ( libellé récupéré de la table AT_OMS_V à valider par MOA );0
084;A;A;H108;Conjonctivites irritatives;0
084;A;A;L23X;Lésions eczématiformes;0
084;A;A;L24X;Dermites irritatives;0
084;A;A;R26X;Syndrome ébrieux FIN CODE 20/06/2004;0
084;A;A;R40X;Syndrome narcotique pouvant aller jusqu'au coma;0
084;A;A;R41X;Syndrome ébrieux;0
084;A;B;G92X;Encéphalopathie toxique;0
084;A;Z;R69X;Association de plusieurs syndromes du tableau;0
085;A;A;C71X;Glioblastome;0
086;A;A;A280;Manifestations cliniques aiguës de pasteurellose;0
086;A;B;A280;Manifestations loco-régionales tardives;0
087;A;A;0000;Non précisé;0
087;A;A;A048;Formes typhoïdes avec troubles digestifs et états stuporeux;0
087;A;A;G028;Formes neuroméningées;0
087;A;A;J178;Pneumopathie aiguë;0
087;A;Z;R69X;Association de plusieurs syndromes du tableau;0
088;A;A;A260;Forme cutanée simple et chronique;0
088;A;A;A267;Formes septicémiques;0
088;A;A;M01X;Forme cutanée associée avec mono ou polyarthrite;0
088;A;B;A260;Forme cutanée associée FIN CODE 20/06/2004;0
088;A;C;A260;Formes cutanées chroniques FIN CODE 20/06/2004;0
088;A;Z;R69X;Association de plusieurs syndromes du tableau;0
089;A;A;K71X;Hépatite récidivante;0
090;A;A;J66X;Syndrome respiratoire obstructif aigu;0
090;A;B;J44X;Bronchopneumopathie chronique obstructive;0
091;A;A;J44X;Bronchopneumopathie chronique obstructive;0
092;A;A;A408;Septicémie isolée;0
092;A;A;G002;Méningite purulente avec bactériémie;0
092;A;A;G518;Paralysie faciale;0
092;A;A;H440;Endopthalmie. uvéite;0
092;A;A;H839;Atteinte cochléo-vestibulaire aiguë;0
092;A;A;I330;Endocardite FIN CODE 20/06/2004;0
092;A;A;I39X;Endocardite;0
092;A;A;I400;Myocardite;0
092;A;A;J178;Pneumonie;0
092;A;A;M002;Arthrites inflammatoires ou septiques;0
093;A;A;H104;Conjonctivite chronique;0
093;A;A;H105;Blépharoconjonctivite chronique;0
097;A;A;M51B;Sciatique par hernie discale L5-S1;0
097;A;B;M511;Radiculalgie crurale par hernie discale;0
097;A;B;M51A;Radiculalgie crurale par hernie discale L2-L3;0
097;A;B;M51B;Radiculalgie crurale par hernie discale L3-L4;0
097;A;B;M51C;Radiculalgie crurale par hernie discale L4-L5;0
097;A;Z;R69X;Association de plusieurs syndromes du tableau;0
098;A;A;C921;Affections chroniques du rachis lombaire provoquées par la manutentions manuelles de charges lourdes : Radiculalgie hernie discale L4L21;0
098;A;A;M511;Sciatique par hernie discale;0
098;A;A;M51A;Sciatique par hernie discale L4-L5;0
098;A;A;M51B;Sciatique par hernie discale L5-S1;0
098;A;B;M511;Radiculalgie crurale par hernie discale;0
098;A;B;M51A;Radiculalgie crurale par hernie discale L2-L3;0
098;A;B;M51B;Radiculalgie crurale par hernie discale L3-L4;0
098;A;B;M51C;Radiculalgie crurale par hernie discale L4-L5;0
098;A;Z;R69X;Association de plusieurs syndromes du tableau;0
777;I;X;IIII;VALEUR INCONNUE;1
888;N;W;NNNN;Non précisé;0
052;B;A;C220;Carcinome hépatocellulaire histologiquement confirmé et associé à au moins deux lésions du foie non tumoral;0
099;A;A;C921;Leucémie myéloïde chronique;0
094;A;A;J44X;Bronchopneumopathie chronique obstructive;0
095;A;A;H102;Conjonctivite aiguë bilatérale;0
095;A;A;J30X;Rhinite;0
095;A;A;J450;Asthme;0
095;A;A;L23X;Lésions eczématiformes;0
095;A;A;L506;Urticaire de contact;0
095;A;A;T782;Réactions allergiques systémiques telles que : choc anaphylactique;0
095;A;A;T783;Réactions allergiques systémiques telles que : urticaire géante. oedème de ...;0
095;A;Z;R69X;Association de plusieurs syndromes du tableau;0
096;A;A;A985;Infections aiguës à Hantavirus;0
097;A;A;M511;Sciatique par hernie discale;0
097;A;A;M51A;Sciatique par hernie discale L4-L5;0
000;Y;Y;XXXX;Sans objet;2
001;A;A;D642;Anémie;0
001;A;A;G92X;Encéphalopathie aiguë FIN CODE 11/10/2008;0
001;A;A;R100;Syndrome douloureux abdominal FIN CODE 20/06/2004;0
001;A;A;R10X;Syndrome douloureux abdominal FIN CODE 11/10/2008;0
001;A;B;G122;Syndrome de sclérose latérale amyotrophique FIN CODE 11/10/2008;0
001;A;B;G138;Neuropathies périphériques et syndrome de sclérose latérale amyotrophique FIN CODE 20/06/2004;0
001;A;B;G622;Neuropathies périphériques FIN CODE 11/10/2008;0
001;A;B;N18X;Insuffisance rénale chronique FIN CODE 11/10/2008;0
001;A;B;R10X;Syndrome douloureux abdominal;0
001;A;B;R41X;Troubles neurologiques organiques FIN CODE 11/10/2008;0
001;A;C;N143;Néphropathie tubulaire proximale subaiguë;0
001;A;C;N144;Néphropathie glomérulaire et tubulo-interstitielle tardive;0
001;A;C;R79X;Syndrome biologique FIN CODE 11/10/2008;0
001;A;D;F069;Encéphalopathie chronique;0
001;A;D;G622;Neuropathie périphérique;0
001;A;D;G92X;Encéphalopathie aiguë;0
001;A;E;R79X;Syndrome biologique;0
001;A;Z;R69X;Association de plusieurs syndromes du tableau;0
002;A;A;G252;Tremblement intentionnel;0
002;A;A;G92X;Encéphalopathie aiguë;0
002;A;A;K12X;Stomatite;0
002;A;A;L23X;Lésions eczématiformes;0
002;A;A;N144;Néphrite azotémique FIN CODE 20/06/2004;0
002;A;A;N14X;Néphrite azotémique;0
002;A;A;R104;Coliques et diarrhées FIN CODE 20/06/2004;0
002;A;A;R10X;Coliques et diarrhées;0
002;A;A;R270;Ataxie cérébelleuse FIN CODE 20/06/2004;0
002;A;A;R27X;Ataxie cérébelleuse;0
002;A;Z;R69X;Association de plusieurs syndromes du tableau;0
003;A;A;G622;Névrite ou polynévrite;0
003;A;A;K716;Ictère par hépatite FIN CODE 20/06/2004;0
003;A;A;K71X;Ictère par hépatite;0
003;A;A;K767;Hépatonéphrite;0
003;A;A;L24X;Dermites;0
003;A;A;L25X;Dermites FIN CODE 20/06/2004;0
003;A;A;R40X;Accidents nerveux aigus;0
003;A;Z;R69X;Association de plusieurs syndromes du tableau;0
004;A;A;C910;leucémie  aiguë lymphoblastique à l'exclusion des leucèmies aiguës avec des FIN CODE 15/01/2009;0
004;A;A;C920;Leucémies aiguës myeloblastique à l'exclusion des leucèmies aiguës avec des FIN CODE 15/01/2009;0
004;A;A;C959;Leucémies FIN CODE 20/06/2004;0
004;A;A;C95X;Leucémies;0
004;A;A;D467;Hypercytoses d'origine myélodysplasique FIN CODE 20/06/2004;0
004;A;A;D46X;Syndromes myélodysplasiques acquis et non médicamenteux;0
004;A;A;D471;Syndromes myéloproliféractifs;0
004;A;A;D612;Hypoplasies et aplasies médullaires isolées ou associées (    ) acquises    FIN CODE 15/01/2009;0
004;A;A;D642;Anémie;0
004;A;A;D695;Thrombopénie;0
004;A;A;D70X;Leuconeutropénie;0
004;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 20/06/2004;0
004;B;A;R11X;Troubles gastro-intestinaux apyrétiques et vomissements;0
005;A;A;M838;Ostéomalacie FIN CODE 20/06/2004;0
005;A;A;M83X;Ostéomalacie;0
005;A;A;M878;Nécrose du maxillaire inférieur FIN CODE 20/06/2004;0
005;A;A;M87X;Nécrose du maxillaire inférieur;0
005;A;B;L24X;Dermite irritative aiguë;0
005;A;C;L24X;Dermite irritative chronique;0
005;A;Z;R69X;Association de plusieurs syndromes du tableau;0
006;A;A;C34X;Cancer broncho-pulmonaire primitif par inhalation;0
006;A;A;C41X;Sarcome osseux;0
006;A;A;C959;Leucémies FIN CODE 20/06/2004;0
006;A;A;C95X;Leucémies;0
006;A;A;D642;Anémie consécutive à une irradiation aiguë ou chronique;0
006;A;A;D695;Thrombopénie consécutive à une irradiation aiguë ou chronique;0
006;A;A;D698;Syndrome hémorragique consécutif à une irradiation aiguë ou chronique;0
006;A;A;D70X;Leucopénie consécutive à une irradiation aiguë ou chronique;0
006;A;A;H010;Blépharite;0
006;A;A;H10X;Conjonctivite;0
006;A;A;H168;Kératite FIN CODE 20/06/2004;0
006;A;A;H16X;Kératite;0
006;A;A;H268;Cataracte;0
006;A;A;L580;Radiodermites aiguës;0
006;A;A;L581;Radiodermites chroniques;0
006;A;A;M873;Radionécrose osseuse FIN CODE 20/06/2004;0
006;A;A;M87X;Radionécrose osseuse;0
006;A;B;D642;Anémie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D695;Thrombopénie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D698;Syndrome hémorragique consécutif à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D70X;Leucopénie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;L580;Radio-épithélite aiguë des muqueuses;0
006;A;B;L581;Radiolésions chroniques des muqueuses;0
006;A;Z;R69X;Association de plusieurs syndromes du tableau;0
007;A;A;A35X;Tétanos;0
008;A;A;0000;Non précisé;0
008;A;A;H010;Blépharite;0
008;A;A;H10X;Conjonctivite;0
008;A;A;L080;Pyodermites;0
008;A;A;L23X;Dermites eczématiformes;0
008;A;A;L24X;Ulcérations. dermites primitives FIN CODE 20/06/2004;0
008;A;A;L984;Ulcérations;0
008;A;Z;R69X;Association de plusieurs syndromes du tableau;0
009;A;A;E801;Porphyrie cutanée tardive;0
009;A;A;E802;Porphyrie cutanée tardive  FIN CODE 01/01/2000;0
009;A;A;L708;Acné FIN CODE 20/06/2004;0
009;A;A;L70X;Acné;0
009;A;A;R40X;Accidents nerveux aigus;0
009;A;Z;R69X;Association de plusieurs syndromes du tableau;0
010;A;A;J340;Ulcérations nasales;0
010;A;A;J34X;Ulcérations nasales FIN CODE 20/06/2004;0
010;A;A;L23X;Lésions eczématiformes;0
010;A;A;L24X;Ulcérations FIN CODE 20/06/2004;0
010;A;A;L984;Ulcérations;0
010;A;Z;R69X;Association de plusieurs syndromes du tableau;0
010;B;A;J30X;Rhinite;0
010;B;A;J310;Rhinite FIN CODE 20/06/2004;0
010;B;A;J450;Asthme;0
010;B;Z;R69X;Association de plusieurs syndromes du tableau;0
010;T;A;C34X;Cancer broncho-pulmonaire primitif;0
010;T;B;C300;Cancer des cavités nasales;0
010;T;Z;R69X;Association de plusieurs syndromes du tableau;0
011;A;A;K712;Ictère par hépatite FIN CODE 20/06/2004;0
011;A;A;K71X;Ictère par hépatite;0
011;A;A;K767;Hépatonéphrite;0
011;A;A;L24X;Dermite;0
011;A;A;L25X;Dermites FIN CODE 20/06/2004;0
011;A;A;N144;Néphrite FIN CODE 20/06/2004;0
011;A;A;N14X;Néphrite;0
011;A;A;R40X;Accidents nerveux aigus;0
011;A;Z;R69X;Association de plusieurs syndromes du tableau;0
012;A;A;G50X;Névrite trigéminale  FIN CODE 30/09/2007;0
012;A;A;H46X;Névrite optique  FIN CODE 30/09/2007;0
012;A;A;I49X;Troubles cardiaques aigus à type d'hyperexcitabilité ventriculaire ou supra...;0
012;A;A;R260;Syndrome ébrieux FIN CODE 20/06/2004;0
012;A;A;R40X;Syndrome narcotique  FIN CODE 30/09/2007;0
012;A;A;R41X;Syndrome ébrieux  FIN CODE 30/09/2007;0
012;A;B;G98X;Troubles neurologiques chroniques FIN CODE 20/06/2004;0
012;A;B;K71X;Hépatites aiguës cytolytiques;0
012;A;B;R41X;Troubles neurologiques chroniques  FIN CODE 30/09/2007;0
012;A;C;H102;Conjonctivite aiguë  FIN CODE 30/09/2007;0
012;A;C;L24X;Dermo-épidermite aiguë  FIN CODE 30/09/2007;0
012;A;C;N170;Néphropathies tubulaires;0
012;A;D;G50X;Neuropathies trigéminales;0
012;A;D;G622;Polyneuropathies;0
012;A;D;H104;Conjonctivite chronique  FIN CODE 30/09/2007;0
012;A;D;L24X;Dermo-épidermite chronique  FIN CODE 30/09/2007;0
012;A;E;H46X;Neuropathies optiques retrobulbaires bilatérales;0
012;A;E;K716;Hépatite cytolytique FIN CODE 20/06/2004;0
012;A;E;K71X;Hépatite cytolytique  FIN CODE 30/09/2007;0
012;A;E;N17X;Insuffisance rénale aiguë  FIN CODE 30/09/2007;0
012;A;F;D594;Anémies hémolytiques;0
012;A;F;I49X;Troubles du rythme ventriculaire cardiaque  FIN CODE 30/09/2007;0
012;A;F;J681;Oedème pulmonaire  FIN CODE 30/09/2007;0
012;A;G;D612;Aplasies ou hypoplasies médullaires;0
012;A;G;K591;Syndrome cholériforme apyrétique  FIN CODE 30/09/2007;0
012;A;H;T58X;Manifestations d'intoxication oxycarbonée;0
012;A;Z;R69X;Association de plusieurs syndromes du tableau;0
013;A;A;D642;Anémie consécutive à l'intoxication subaiguë ou chronique;0
013;A;A;L23X;Dermites chroniques irritatives ou eczématiformes;0
013;A;A;L25X;Dermites chroniques ou récidivantes FIN CODE 20/06/2004;0
013;A;A;R17X;Subictère consécutif à l'intoxication subaiguë ou chronique;0
013;A;A;R230;Cyanose consécutive à l'intoxication subaiguë ou chronique;0
013;A;A;R402;Accidents aigus (coma) FIN CODE 20/06/2004;0
013;A;A;R40X;Accidents aigus (coma);0
013;A;Z;R69X;Association de plusieurs syndromes du tableau;0
014;A;A;R57X;Intoxication suraiguë;0
014;A;B;R53X;Intoxication aiguë ou subaiguë;0
014;A;C;R104;Manifestations digestives FIN CODE 20/06/2004;0
014;A;C;R10X;Manifestations digestives;0
014;A;D;J39X;Irritation des voies aériennes supérieures et conjonctivites;0
014;A;E;L24X;Dermites irritatives;0
014;A;F;D70X;Neutropénie;0
014;A;Z;R69X;Association de plusieurs syndromes du tableau;0
015;A;A;0000;Non précisé;0
015;A;A;D748;Hémoglobinurie avec hémolyse et méthémoglobinémie FIN CODE 20/06/2004;0
015;A;A;D74X;Hémoglobinurie avec hémolyse et méthémoglobinémie;0
015;A;A;L24X;Dermites irritatives;0
015;A;A;R17X;Subictère;0
015;A;A;R230;Cyanose;0
015;A;A;R402;Troubles neurologiques à type de somnolence. narcose. coma FIN CODE 20/06/2004;0
015;A;A;R40X;Troubles neurologiques à type de somnolence. narcose. coma;0
015;A;Z;R69X;Association de plusieurs syndromes du tableau;0
015;B;A;J30X;Rhinite;0
015;B;A;J450;Asthme;0
015;B;A;L23X;Lésions eczématiformes;0
015;B;A;L24X;Dermite irritative;0
015;B;Z;R69X;Association de plusieurs syndromes du tableau;0
015;T;A;C67X;Lésions malignes primitives de l'épithélium vésical dues aux substances de ...;0
015;T;A;C67Y;Tumeur primitive de l'épithélium urinaire (vessie                                                                                                                                        ,voies excrétrices supérieures) confirmée par examen histopathologique ou cytopathologique;0
015;T;A;D303;Tumeurs bénignes primitives de l'épithélium vésical dues aux substances de ...;0
015;T;B;C67X;Lésions malignes primitives de l'épithélium vésical dues aux substances de ...;0
015;T;B;D303;Tumeurs bénignes primitives de l'épithélium vésical dues aux substances de ...;0
015;T;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 20/06/2004;0
016;A;A;H108;Conjonctivites photo-toxiques FIN CODE 20/06/2004;0
016;A;A;H10X;Conjonctivites photo-toxiques;0
016;A;A;L23X;Dermites eczématiformes;0
016;A;A;L568;Dermites photo-toxiques;0
016;A;Z;R69X;Association de plusieurs syndromes du tableau;0
016;B;A;C44X;Epithélioma primitif de la peau;0
016;B;B;C34X;Cancer broncho-pulmonaire primitif;0
016;B;C;C67X;Tumeur primitive de l'épithélium urinaire (vessie                                                                                                                                        ,voies exrétrices supérieures) confirmée par;0
016;B;C;D303;Tumeurs bénignes de la vessie;0
016;B;Z;R69X;Association de plusieurs syndromes du tableau;0
018;A;A;A220;Pustule maligne;0
018;A;A;A221;Charbon pulmonaire;0
018;A;A;A222;Charbon gastro-intestinal;0
018;A;A;A228;Oedème malin;0
018;A;Z;R69X;Association de plusieurs syndromes du tableau;0
019;A;A;A270;Leptospirose provoquée par Leptospira interrogans FIN CODE 20/06/2004;0
019;A;A;A27X;Leptospirose provoquée par Leptospira interrogans;0
019;A;B;A692;Manifestations primaires : erythème migrant de Lipschutz;0
019;A;B;G01X;Méningite lymphocytaire;0
019;A;B;G050;Encéphalomyélite progressive FIN CODE 20/06/2004;0
019;A;B;G05X;Encéphalomyélite progressive;0
019;A;B;I301;Péricardite;0
019;A;B;I459;Troubles de la conduction;0
019;A;B;L908;Dermatite chronique atrophiante FIN CODE 20/06/2004;0
019;A;B;L90X;Dermatite chronique atrophiante;0
019;A;B;M012;Oligoarthrites régressives ou arthrite chronique destructrice FIN CODE 20/06/2004;0
019;A;B;M018;Arthrite chronique destructrice FIN CODE 20/06/2004;0
019;A;B;M01X;Oligoarthrites régressives ou arthrite chronique destructrice;0
019;A;Z;R69X;Association de plusieurs syndromes du tableau;0
020;A;A;D68X;Troubles de l'hémostase;0
020;A;A;G92X;Encéphalopathie;0
020;A;A;J960;Dyspnée aiguë;0
020;A;A;K71X;Vomissement. diarrhée. syndrome de cytolyse hépatique;0
020;A;A;K720;Vomissement. diarrhée. syndrome de cytolyse hépatique FIN CODE 20/06/2004;0
020;A;A;R060;Dyspnée aiguë FIN CODE 20/06/2004;0
020;A;A;R57X;Insuffisance circulatoire. troubles du rythme. arrêt circulatoire;0
020;A;B;H010;Blépharite;0
020;A;B;H10X;Conjonctivite;0
020;A;B;H168;Kératite FIN CODE 20/06/2004;0
020;A;B;H16X;Kératite;0
020;A;B;J310;Rhinite;0
020;A;B;J340;Ulcération de la cloison nasale;0
020;A;B;J348;Perforation de la cloison nasale;0
020;A;B;K12X;Stomatite;0
020;A;B;L24X;Dermite de contact orthoergique. plaies arsenicales;0
